member_casual,end_station_name,end_count
casual,Central Ave & Parker Ave,89
casual,Shabbona Park,88
casual,Albany Ave & 16th St,88
casual,Avenue O & 118th St,87
casual,Cicero Ave & Quincy St,87
casual,Loomis St & Lexington St*,87
casual,Public Rack - Lowell Ave & Elston Ave,87
casual,Archer Ave & 43rd St,86
casual,Harding Ave & 26th St,86
casual,Eggleston Ave & 69th St,86
casual,St Louis Ave & Norman Bobbins Ave,86
casual,Ashland Ave & 50th St,85
casual,Exchange Ave & 79th St,84
casual,Kedzie Ave & Harrison St,84
casual,Midway Orange Line,83
casual,Torrence Ave & 106th St,83
casual,Eastlake Ter & Howard St,83
casual,Ashland Ave & Garfield Blvd,83
